profileName,profileDesc,recommendedCategories,cautiousCategories,riskTags,dimMathLogic,dimInfoSystems,dimEngineering,bucketStem,bucketBusiness,bucketHumanities
"计算机·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 建筑类; 生物医学工程类","",85,85,85,88,8,2
"计算机·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 建筑类; 生物医学工程类","",85,85,85,88,8,2
"计算机·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 建筑类; 生物医学工程类","",85,85,85,88,8,2
"计算机·误解待澄清型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 管理科学与工程类; 建筑类; 生物医学工程类","",85,85,85,74,6,1
"电子信息·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 建筑类; 生物医学工程类","",85,85,85,88,8,2
"电子信息·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 建筑类; 生物医学工程类","",85,85,85,88,8,2
"电子信息·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 建筑类; 生物医学工程类","",85,85,85,88,8,2
"电子信息·误解待澄清型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 管理科学与工程类; 建筑类; 生物医学工程类","",85,85,85,74,6,1
"能源动力·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"能源动力·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"能源动力·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"自动化·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,85,85,88,8,2
"自动化·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,85,85,88,8,2
"自动化·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,85,85,88,8,2
"仪器·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"仪器·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"机械·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"机械·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"机械·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"机械·误解待澄清型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,74,6,1
"化工与制药·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"化工与制药·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"化工与制药·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"交通运输·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"交通运输·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"交通运输·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"环境科学与工程·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"环境科学与工程·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"环境科学与工程·路径规划型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"生物工程·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"生物工程·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"食品科学与工程·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"食品科学与工程·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"电气·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 生物医学工程类; 建筑类; 管理科学与工程类","",85,55,85,88,8,2
"电气·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 生物医学工程类; 建筑类; 管理科学与工程类","",85,55,85,88,8,2
"电气·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 生物医学工程类; 建筑类; 管理科学与工程类","",85,55,85,88,8,2
"土木·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"土木·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"土木·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"材料·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"材料·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"材料·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"建筑·兴趣驱动型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类; 建筑类; 计算机类","机械类; 航空航天类; 设计学类; 管理科学与工程类","",55,25,85,45,12,30
"建筑·能力匹配型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类; 建筑类; 计算机类","机械类; 航空航天类; 设计学类; 管理科学与工程类","",55,25,85,45,12,30
"水利·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"水利·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"航空航天·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"生物医学工程·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"生物医学工程·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"力学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"测绘·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"测绘·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"安全科学与工程·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"安全科学与工程·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"地质·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"核工程·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"海洋工程·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"农业工程·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"轻工·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"公安技术·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"矿业·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"纺织·兴趣驱动型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"兵器·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,85,88,8,2
"林业工程·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"植物生产·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"植物生产·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"植物生产·路径规划型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"自然保护与环境生态·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"自然保护与环境生态·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"动物医学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"动物医学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"动物医学·路径规划型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"动物生产·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"动物生产·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"林学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"水产·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"草学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"临床医学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"临床医学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"临床医学·路径规划型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"临床医学·误解待澄清型","","临床医学类; 动物医学类; 药学类; 护理学类; 口腔医学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",25,25,85,32,4,4
"药学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"药学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"药学·路径规划型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"中医学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"中医学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"中医学·路径规划型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"护理学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"护理学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"护理学·路径规划型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"护理学·误解待澄清型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",25,25,85,32,4,4
"公共卫生与预防医学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"公共卫生与预防医学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"口腔医学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"口腔医学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"中西医结合·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"中药学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"中药学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"医学技术·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"医学技术·能力匹配型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
